product_id,category,metal,karat,gross_weight,stone_weight,price,image_file
NOSE_PIN_NPP_007,Nosepin,Gold,22K,0.53 gm,NA,"9,681 ",NOSE_PIN_NPP_007_front_view.jpg
NOSE_PIN_NPP_007,Nosepin,Gold,22K,0.53 gm,NA,"9,681 ",NOSE_PIN_NPP_007_side_view.jpg
NOSE_PIN_NPP_001,Nosepin,Gold,22K,0.54 gm,NA,"9,851 ",NOSE_PIN_NPP_001_perspective_view.jpg
NOSE_PIN_NPP_001,Nosepin,Gold,22K,0.54 gm,NA,"9,851 ",NOSE_PIN_NPP_001_top_view.jpg
NOSE_PIN_NPP_001,Nosepin,Gold,22K,0.54 gm,NA,"9,851 ",NOSE_PIN_NPP_001_front_view.jpg
NOSE_PIN_NPP_001,Nosepin,Gold,22K,0.54 gm,NA,"9,851 ",NOSE_PIN_NPP_001_side_view.jpg
NOSE_PIN_NPP_002,Nosepin,Gold,22K,0.46 gm,NA,"8,491 ",NOSE_PIN_NPP_002_perspective_view.jpg
NOSE_PIN_NPP_002,Nosepin,Gold,22K,0.46 gm,NA,"8,491 ",NOSE_PIN_NPP_002_top_view.jpg
NOSE_PIN_NPP_002,Nosepin,Gold,22K,0.46 gm,NA,"8,491 ",NOSE_PIN_NPP_002_front_view.jpg
NOSE_PIN_NPP_002,Nosepin,Gold,22K,0.46 gm,NA,"8,491 ",NOSE_PIN_NPP_002_side_view.jpg
NOSE_PIN_NPS_050,Nosepin,Gold,22K,0.41 gm,0.003 gm,"7,854 ",NOSE_PIN_NPS_050_perspective_view.jpg
NOSE_PIN_NPS_050,Nosepin,Gold,22K,0.41 gm,0.003 gm,"7,854 ",NOSE_PIN_NPS_050_top_view.jpg
NOSE_PIN_NPS_050,Nosepin,Gold,22K,0.41 gm,0.003 gm,"7,854 ",NOSE_PIN_NPS_050_side_view.jpg
NOSE_PIN_NPS_050,Nosepin,Gold,22K,0.41 gm,0.003 gm,"7,854 ",NOSE_PIN_NPS_050_front_view.jpg
